FIPS,Pred
47065,0
13075,0
53033,1
6037,1
36067,0
36061,0
8093,0
34029,1
12105,1
6075,0
41051,0
48113,0
48279,0
11001,0
48201,0
24005,0
32510,0
17031,0
25027,0
51013,0
39093,1
34021,1
48333,1
6059,1
36055,1
42077,1
-1,1
34003,1
53067,1
6107,1
12095,1
24015,1
1093,1
12057,1
31109,1
27123,1
1089,1
32003,1
26081,1
44007,1
6001,1
55097,1
6073,0
18159,0
51147,0
45079,0
21117,0
36105,0
12099,0
6071,0
13091,0
13121,0
19153,0
25017,0
6085,0
18141,0
51510,0
26111,0
24013,0
6065,0
25025,0
36103,0
16013,0
27053,0
17105,0
39049,0
12021,0
5007,0
28121,0
34013,0
26161,0
34005,0
23021,0
47157,0
6013,0
22009,0
36029,0
20009,0
12089,0
51710,0
42003,0
24033,0
55079,0
47037,0
13067,0
36005,0
27137,0
24031,0
12091,0
42027,0
45019,0
6083,0
6111,0
4025,0
25015,0
37189,0
50015,0
23031,0
29135,0
51830,0
16055,0
37051,0
32015,0
12086,0
48453,0
48095,0
28049,0
10005,0
39089,0
48029,0
24045,0
17095,0
27097,0
36059,0
47149,0
45027,0
13015,0
45051,0
30027,0
1117,0
4013,0
22071,0
5125,0
20079,0
13245,0
17097,0
35001,0
40133,0
26073,0
6067,0
12127,0
17043,0
39115,0
42091,0
6019,0
4019,0
53077,0
12107,0
17107,0
37037,0
27021,0
53061,0
45045,0
29019,0
18097,0
12069,0
29095,0
29051,0
1073,0
42069,0
39023,0
54039,0
5045,0
48309,0
13089,0
39035,0
12117,0
40027,0
28007,0
33001,0
26163,0
36081,0
49035,0
12073,0
6061,0
36063,0
42055,0
40081,0
9011,0
39061,0
33013,0
48339,0
12125,0
25009,0
15003,0
26125,0
36047,0
49049,0
1049,0
48439,0
55025,0
25005,0
18089,0
9009,0
32005,0
48371,0
12011,0
54015,0
13127,0
47187,0
37135,0
56025,0
51059,0
39165,0
37063,0
51600,0
31055,0
41013,0
33009,0
8031,0
54011,0
12085,0
46081,0
12015,0
55115,0
9003,0
45077,0
48491,0
48141,0
40109,0
12047,0
54037,0
48121,0
8059,0
42101,0
55133,0
39113,0
27147,0
19169,0
55085,0
5079,0
29037,0
51107,0
12001,0
37119,0
47125,0
48265,0
18057,0
12023,0
5049,0
41067,0
8035,0
6031,0
1071,0
5051,0
8041,0
48257,0
34017,0
51700,0
26093,0
37081,0
34015,0
18069,0
13051,0
5115,0
6087,0
42011,0
48085,0
19113,0
41047,0
6079,0
6077,0
12019,0
37183,0
54069,0
12087,0
53005,0
48167,0
21155,0
24021,0
13145,0
48259,0
39095,0
53011,0
9007,0
6053,0
51153,0
5119,0
32031,0
13083,0
8069,0
17163,0
22005,0
48157,0
39155,0
35057,0
48269,0
41039,0
29189,0
17201,0
26065,0
21111,0
36027,0
19103,0
12103,0
4005,0
6041,0
8029,0
6007,0
42133,0
55073,0
48215,0
33011,0
6025,0
12055,0
41003,0
36077,0
36119,0
15001,0
34001,0
1059,0
37067,0
55059,0
9001,0
51610,0
1031,0
31041,0
53063,0
39153,0
27003,0
29187,0
36085,0
25021,0
19139,0
25023,0
47093,0
12097,0
27073,0
12031,0
18063,0
26029,0
56033,0
42085,0
22033,0
42129,0
39169,0
5113,0
13001,0
4003,0
29077,0
42043,0
48169,0
16001,0
39045,0
10001,0
25013,0
26147,0
36093,0
13135,0
40143,0
12115,0
26099,0
51540,0
15009,0
26157,0
40031,0
48187,0
47063,0
6097,0
53015,0
18049,0
39029,0
21031,0
12081,0
20091,0
48303,0
49053,0
51159,0
56041,0
38083,0
21227,0
13319,0
23017,0
48183,0
12033,0
42075,0
1047,0
24043,0
18095,0
45073,0
23027,0
48245,0
53073,0
28089,0
42001,0
53053,0
26049,0
23019,0
55109,0
53035,0
9005,0
42045,0
42031,0
1101,0
8117,0
37133,0
6029,0
12131,0
42063,0
34007,0
19007,0
42107,0
55139,0
8049,0
36041,0
21209,0
47155,0
32013,0
8013,0
5019,0
27125,0
21081,0
51087,0
17111,0
26121,0
1099,0
35005,0
42059,0
16005,0
54061,0
39099,0
37077,0
40069,0
34031,0
22057,0
5143,0
36013,0
45047,0
39145,0
17167,0
35047,0
48015,0
6023,0
48355,0
39151,0
36021,0
24017,0
13223,0
5071,0
37019,0
51810,0
12053,0
39017,0
1125,0
1129,0
18011,0
49039,0
50007,0
20173,0
24023,0
37021,0
12101,0
37101,0
17197,0
48001,0
42035,0
13305,0
41027,0
27141,0
48061,0
54055,0
48221,0
48027,0
39173,0
42019,0
17089,0
29213,0
48181,0
12109,0
17199,0
39133,0
23025,0
34025,0
51680,0
48397,0
36111,0
37057,0
42097,0
42013,0
18163,0
39103,0
42029,0
47011,0
39027,0
47165,0
12111,0
30037,0
22055,0
48285,0
36007,0
8099,0
36091,0
10003,0
48479,0
8001,0
22109,0
44005,0
48449,0
38035,0
12005,0
36053,0
42071,0
12071,0
26103,0
34039,0
55101,0
36075,0
31157,0
28145,0
17113,0
51820,0
45011,0
36019,0
37097,0
48005,0
36083,0
34023,0
49051,0
49057,0
49021,0
49001,0
49005,0
49023,0
5083,0
49011,0
49043,0
36071,0
53009,0
39117,0
45063,0
33015,0
8115,0
56007,0
