,FIPS,Text,Pred
81,36061.0,more war crimes i think we extinguishing human race between war crimes currently going around the ,1
82,48333.0,nobody speaks plight pakhtun brothers sisters die because terror attacks afghanistan o ,1
83,39093.0,if putinswar becomes wwiii battle lines drawn theworld against russia russia amp china russi ,1
84,39093.0,who us allies afghanistan afghanresistance the taliban the russians the chinese httpstcov3vg54roxe s ,1
85,6075.0,how times change calling out russian senseless killing civilians themselves hv killed million ,1
86,51013.0,best practice effective assistance afghanistan determine clear relevant metrics measure actual outco ,1
87,34003.0,please join me you hear real accounting going afghanistan girlseducation afgangirls ,1
88,48279.0,an explosion took place salimkarwan area kabul today ied planted pot wounded member of ,1
89,44007.0,worldcitizenart looking forward doing podcast tomorrow re global work migration refugee afghanistan ,1
90,44007.0,worldcitizenart looking forward doing podcast tomorrow re global work migration refugee afghanistan ,1
91,6001.0,if imran likes india so much then httpstcoqzgtotn1rw get news featured use indiapostusa ,1
92,53067.0,local veteran author continues fight evacuate foreign military interpreters httpstcotubla0 ,1
93,51013.0,best practice effective assistance afghanistan monitoring evaluating see if activities actually ,1
94,55097.0,potus you may turned page afghanistan rest never forget impeachbidennow ,1
95,53033.0,the global shift afghanistan better get this it time detach west dollar ,1
96,-1.0,ukrainevsrussia putinswar lie not fighting nazisinukraine would russian citizens believe ,1
97,6073.0,elonmusk statsfeed you may look into afghanistan lithium ,1
98,12105.0,feb 20 2022 declassified afghanistan reports back us commanders who said biden team was indecisive during ,1
99,48279.0,afghanistan emergency appeal donate war child uk httpstcolu7lj8zhkw ,1
100,12095.0,8kday train station how were evacuated afghanistan per day cargo planes highest donlemon ,1
101,-1.0,yes decisions take place rawalpindi pakistani isi afghanistan ,1
102,48279.0,collins rescued ksar afghanistan needs home please adoptdontshop fostersneeded collins in ,1
103,48279.0,buster afghanistan rescued ksar now britishcolumbia canada loves everyone an ,1
104,48279.0,frosty trudy rescued ksar afghanistan an adorable tri paw girl whos currently fostered needs home ,1
105,48279.0,beautiful gracie rescued ksar afghanistan adoptdontshop foster britishcolumbia canada ,1
106,48279.0,freddi rescued ksar came canada afghanistan adoptdontshop foster in ,1
107,18159.0,there reason call palm beach the state uniom strug comedy jokes ,1
108,25027.0,join movement afghanssupportgirlseducation we also support ,1
