Time,Text,City,County,State
2022-04-10 20:01:38+00:00,b'Legal experts stunned Trump Jr. claimed operational control over election results\n\n#currentaffairs #CurrentNews\xe2\x80\xa6 https://t.co/Q1GAv3yDx8',Los Angeles,Los Angeles County,California,United States
2022-04-10 19:59:16+00:00,b'12 Good Reasons to Cancel Amazon Prime.\n\n#currentaffairs #CurrentNews #bernie2020 #ProgressiveAlliance\xe2\x80\xa6 https://t.co/0Bzl6YIHOZ',Los Angeles,Los Angeles County,California,United States
2022-04-10 19:55:31+00:00,"b""Kevin McCarthy's 'strategic mistake' on the Jan 6th committee is about to blow up in his face.\n\n#currentaffairs\xe2\x80\xa6 https://t.co/8iBWaCS3Rk""",Los Angeles,Los Angeles County,California,United States
2022-04-10 19:52:22+00:00,"b'10 things you need to know today:  Sunday, April 10, 2022.\n\n#currentaffairs #CurrentNews #CurrrentEvents\xe2\x80\xa6 https://t.co/rTcY0IfjS1'",Los Angeles,Los Angeles County,California,United States
2022-04-10 19:49:58+00:00,b'House Jan 6th riot committee has enough evidence for a Trump criminal referral but is holding off.\n\n#currentaffairs\xe2\x80\xa6 https://t.co/rKUKwoyH8a',Los Angeles,Los Angeles County,California,United States
2022-04-10 19:06:52+00:00,"b'So, I just found out that ""Super Bernie World"" is a thing...\n\n#BernieSanders https://t.co/IgZsVXBAv3'",San Diego,San Diego County,California,United States
2022-04-10 17:07:09+00:00,"b""@wtfiscrackin that's a nice gesture\n\nthey had satire of #BernieSanders\nwhich i kinda enjoyed-i like #LarryDavid \nbu\xe2\x80\xa6 https://t.co/ZkCchNa9el""",,,,
2022-04-10 16:22:25+00:00,b'Go cop a pair of @nxtg3nz footwear.\xf0\x9f\x98\x86\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\nEdited By: Me \n\n#FanArt #NFT #NFTcollection #sneakerhead #BernieSanders\xe2\x80\xa6 https://t.co/V9BW3fXz8G',,,,
2022-04-10 16:17:28+00:00,b'@elonmusk #BernieSanders talks #ElonMusk acts.',,,,
2022-04-10 15:29:57+00:00,"b""@GovChristie  says that he won't vote for a socialist, #BernieSanders but he will vote for a criminal #DonaldTrump,\xe2\x80\xa6 https://t.co/AlFgmVUhsx""",,Polk County,Florida,United States
2022-04-10 12:46:33+00:00,b'Negotiate with my captors in my very best #BernieSanders voice. https://t.co/zMWK4CQxVU https://t.co/sSo1vtlWCa',San Francisco,,California,United States
2022-04-10 12:16:01+00:00,"b""I'm in! I'll buy an #ElectricVehicle when:\n- They're less than $30,000\n- The government buys back my gas guzzling h\xe2\x80\xa6 https://t.co/CuJGaFRvBK""",North Ridgeville,Lorain County,Ohio,United States
2022-04-10 12:15:43+00:00,"b""Is this #America's #BolshevikRevolution? The #oppressed rising up against the #oppressors and #canceling voices the\xe2\x80\xa6 https://t.co/PtH6c36zZ2""",North Ridgeville,Lorain County,Ohio,United States
2022-04-10 11:03:13+00:00,b'100% Agree with ole\xe2\x80\x99 Bernie here. He\xe2\x80\x99s got a point #berniesanders #ElonMusk https://t.co/V5POKro2xI',Carolina,Carolina,,United States
2022-04-10 10:30:33+00:00,"b""@Humblepie415 @elonmusk @Tesla @SpaceX Good question. Maybe someone like #BernieSanders or #ElizabethWarren. I'm co\xe2\x80\xa6 https://t.co/T3xDZkR2Xs""",,New York County,New York,United States
2022-04-10 10:29:07+00:00,"b""Good question. Maybe someone like #BernieSanders or #ElizabethWarren. I'm considered middle-class, single/no kids.\xe2\x80\xa6 https://t.co/CMRBh7MfwN""",,New York County,New York,United States
2022-04-10 09:06:42+00:00,"b""DeRay Mckesson: #Billionaires get rich by 'relying on a system that exploits people,' https://t.co/Afw7FMdfrY #berniesanders""",England,Leicestershire,,United Kingdom
2022-04-10 00:27:22+00:00,b'@PhyllidaMidws @POTUS #POTUS could care less about Americans! He shows that daily! #BernieSanders #NancyPalosi\xe2\x80\xa6 https://t.co/ak3fonVnfh',,,,
2022-04-10 00:15:41+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/yVkzH3NUcc',,,,
2022-04-09 20:11:45+00:00,b'Bill Maher Argues Will Smith Slap Is Part of a \xe2\x80\x98War on Jokes\xe2\x80\x99 Linked to Cancel Culture.\n\n#currentaffairs\xe2\x80\xa6 https://t.co/klEZfNEZy6',Los Angeles,Los Angeles County,California,United States
2022-04-09 20:07:46+00:00,"b'L A Covid Cases Up 78% In Past 4 Days, Tho Hospitalizations Show No Uptick\n#currentaffairs #CurrentNews\xe2\x80\xa6 https://t.co/RvVuKOJMsL'",Los Angeles,Los Angeles County,California,United States
2022-04-09 19:56:55+00:00,"b'10 things you need to know today: Saturday, April 9, 2022.\n\n#currentaffairs #CurrentNews #CurrrentEvents\xe2\x80\xa6 https://t.co/rYy5ovK1TS'",Los Angeles,Los Angeles County,California,United States
2022-04-09 19:52:45+00:00,b'Trump Jr sent text messages to Mark with strategies to overturn the election\n\n#TrumpCrimeFamily #TrumpCoupAttempt\xe2\x80\xa6 https://t.co/bCroIrcx6u',Los Angeles,Los Angeles County,California,United States
2022-04-09 18:46:17+00:00,b'I find it very fascinating that Elon Musk is hosting #burningman yet he does not care for #BernieSanders and\xe2\x80\xa6 https://t.co/BaM4jZq84a',,,,
2022-04-09 16:02:14+00:00,"b""President #JoeBiden is the '#BigGuy' in #HunterBiden's #laptop emails, report says\n\n&gt;https://t.co/SiqW0hcHqi \n#CNN\xe2\x80\xa6 https://t.co/WQhrFXT6gN""",,,,
2022-04-09 11:54:40+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/h5Anp3yAgR',,,,
2022-04-09 11:53:43+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/tQJdDhXw1g',,,,
2022-04-09 11:50:56+00:00,"b""Is this #America's #BolshevikRevolution? The #oppressed rising up against the #oppressors and #canceling voices the\xe2\x80\xa6 https://t.co/Q4hGtXLpA4""",North Ridgeville,Lorain County,Ohio,United States
2022-04-09 11:50:10+00:00,"b""I'm in! I'll buy an #ElectricVehicle when:\n- They're less than $30,000\n- The government buys back my gas guzzling h\xe2\x80\xa6 https://t.co/kKvGzeJ3c6""",North Ridgeville,Lorain County,Ohio,United States
2022-04-09 09:26:19+00:00,b'@Shut_downAmazon @BernieSanders @amazonlabor @AOC @BarackObama @CoryBooker @CoriBush @SenWarren They sleep easier b\xe2\x80\xa6 https://t.co/a6ziZKUlyu',Brooklyn,,New York,United States
2022-04-09 03:43:38+00:00,"b'""A spectre is haunting America.. the haunting spectre of Senator #BernieSanders"": #TaxTheRich #Medicare4All\xe2\x80\xa6 https://t.co/QUZQDUnQRT'",,,,
2022-04-09 03:27:01+00:00,b'$7.99 Standup Comedy career launching 5 star workbook- Gift your funny friend or family member this unique gift! Pu\xe2\x80\xa6 https://t.co/QRDK6kgFBg',,,,
2022-04-09 03:08:01+00:00,b'Hillary Clinton v Donald Trump: T https://t.co/vcTeFozk7p #alanmullaly #barackobama #berniesanders',,,,
2022-04-09 02:32:36+00:00,b'#BernieSanders chats with #ElonMusk full video on my Instagram @kriscarmelo https://t.co/8uSfRArf3f',San Francisco,,California,United States
2022-04-09 01:51:54+00:00,b'So basically just like the other fauxgressives\xe2\x80\xa6they\xe2\x80\x99re all proud SOCIALISTS fighting against the \xe2\x80\x9cDem establishment\xe2\x80\xa6 https://t.co/Zj0gLkaOKU',,,,
2022-04-09 01:14:49+00:00,"b'My conservative uncle, in a bid to annoy me, got a #BernieSanders chew toy for my dog. My dog has refused to hurt i\xe2\x80\xa6 https://t.co/i4umRUgmgx'",,,,
2022-04-09 01:11:56+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/ahoAp7GMXT',,,,
2022-04-09 00:37:49+00:00,b'Democratic Socialists of America #socialism #socialists #democraticsocialistofamerica #politics\xe2\x80\xa6 https://t.co/96B3NGpd2J',,,,
2022-04-08 22:51:19+00:00,b'\xf0\x9f\x9a\xa8\xf0\x9f\x93\xa3\xf0\x9f\x9a\xa8\xf0\x9f\x93\xa3\xf0\x9f\x9a\xa8\n\nHI EVERYBODY!!!\n\nWE\xe2\x80\x99RE HOSTING A BREAKFAST CANVASS FOR @AazamiShervin &amp; @Angelica4CA!!!\n\nDATE:\n\nApril 23th 9\xe2\x80\xa6 https://t.co/Z79Y6h8V2R',Los Angeles,Los Angeles County,California,United States
2022-04-08 21:35:34+00:00,"b""@berk1a Who thinks #HarveyWeinstein should permanently replace Chuck Todd?\n\nOh.. he's currently imprisoned for sexu\xe2\x80\xa6 https://t.co/UAfgH9Acyh""",,,,
2022-04-08 21:30:04+00:00,"b""@tonyposnanski Didn't mind #CNN comparing #BernieSanders to a #coronavirus? https://t.co/G5Yh9nOtC0""",,,,
2022-04-08 21:08:28+00:00,"b'To all the #berniesanders supporters, how did you overcome his defeat in 2020 after that much effort and hope put into his candidacy?'",,,,
2022-04-08 20:44:58+00:00,b'TOMORROW\n\n10 AM - 6 PM\n\nBE THERE AND VOLUNTEER!!!\n\nhttps://t.co/2XqkSGA3mN\n\n#democrat #democraticsocialist\xe2\x80\xa6 https://t.co/mTrjOeRZR2',Los Angeles,Los Angeles County,California,United States
2022-04-08 20:38:20+00:00,b'Here are some \xf0\x9f\x94\xa5 pictures @brianacwalden took at our Salute 2 Activist Fundraiser!\n\nThanks Briana!\n\nIT\xe2\x80\x99S ALWAYS AN A\xe2\x80\xa6 https://t.co/YPGX1HY0ly',Los Angeles,Los Angeles County,California,United States
2022-04-08 19:06:22+00:00,b'Investigators find more evidence of Russian war crimes  https://t.co/DJmuf9sI0n via @YouTube German Journalists Int\xe2\x80\xa6 https://t.co/s0sUqUCQXn',,Dodge County,Georgia,United States
2022-04-08 19:01:07+00:00,b'There has been repeated discussion about the use of tactical nuclear weapons in...\n#Putin #Russia #PhosphorusBombs\xe2\x80\xa6 https://t.co/RtnLzMuGzx',,,,
2022-04-08 18:45:12+00:00,b'#Maddow #Bitcoin #CNN #ElizabethWarren #Manchin #Covid_19 #MSNBC #GreenNewDeal #NYC #BlackLivesMatter #AOC\xe2\x80\xa6 https://t.co/SW2rcustHd',,,,
2022-04-08 18:34:00+00:00,b'Some landlords got a piece of Texas\xe2\x80\x99 $2 billion in rent relief money &amp; evicted struggling tenants anyway.\xe2\x80\xa6 https://t.co/uDDAfPSL86',Los Angeles,Los Angeles County,California,United States
2022-04-08 18:27:08+00:00,b'Conservative writer offers tips on how Dem can fight back against MAGA hate wars\n#bernie2020 #ProgressiveAlliance\xe2\x80\xa6 https://t.co/H44PJkY5UD',Los Angeles,Los Angeles County,California,United States
2022-04-08 18:14:52+00:00,"b""Border Patrol union chief promotes racist 'replacement theory' in Fox News interview.\n\n#currentaffairs #bernie2020\xe2\x80\xa6 https://t.co/xAn8aN2AN9""",Los Angeles,Los Angeles County,California,United States
2022-04-08 18:10:17+00:00,b'The Endgame of The US Economy.\n\n#currentaffairs #bernie2020 #ProgressiveAlliance #TrumpIsACriminal #AOC #Biden\xe2\x80\xa6 https://t.co/qjCckTw0ij',Los Angeles,Los Angeles County,California,United States
2022-04-08 18:07:13+00:00,"b'10 things you need to know today:  Friday, April 8, 2022.\n\n#currentaffairs #CurrentNews #CurrrentEvents #bernie2020\xe2\x80\xa6 https://t.co/bxeZSYk11V'",Los Angeles,Los Angeles County,California,United States
2022-04-08 18:03:45+00:00,b'Here are 4 bombshells from the report of an FBI investigation into classified material found at Mar-a-Lago.\xe2\x80\xa6 https://t.co/dazdV7UyPe',Los Angeles,Los Angeles County,California,United States
2022-04-08 17:59:38+00:00,"b""Viral Twitter Thread Compares GOP Politicians To Disney Villains\xe2\x80\x94And They're On Point.\n\n#currentaffairs\xe2\x80\xa6 https://t.co/CxG7PI5E0a""",Los Angeles,Los Angeles County,California,United States
2022-04-08 17:17:46+00:00,"b'BIDEN HAS GIVEN MORE THAN $1.7 BILLION TO UKRAINE SINCE WAR STARTED, WHITE HOUSE SAYS\nhttps://t.co/b8Qqbu2Ler\n.\xe2\x80\xa6 https://t.co/LZ7hBx0byY'",,,,
