Time,Text,City,County,State
2022-04-11 07:12:36+00:00,"b""US Marshals' operation recovers 16 missing children and uncovers allegations of sex trafficking, agency says\xe2\x80\xa6 https://t.co/8w5y59i29d""",,,,
2022-04-11 07:12:34+00:00,b'DA moves to dismiss a murder charge against a Texas woman accused of a self-induced abortion\xe2\x80\xa6 https://t.co/SbO5TKFaxy',,,,
2022-04-11 07:12:32+00:00,"b'Buffalo, N.Y., police officers cleared of wrongdoing after shoving elderly man to ground at protest\xe2\x80\xa6 https://t.co/wm7TJ8emkt'",,,,
2022-04-11 07:11:46+00:00,"b""@zarahsultana It's going to happen in the #country.  All those hard fought for #freedoms will be lost as we see the\xe2\x80\xa6 https://t.co/hYGeS3ls4m""",England,Leicestershire,,United Kingdom
2022-04-11 06:38:52+00:00,b'The one context in which the entirety of the conformist #liberal class can be expected to whole-heartedly agree tha\xe2\x80\xa6 https://t.co/VvjCrMuUa0',,,,
2022-04-11 06:33:01+00:00,b'Want more evidence that #NYC is an impossibly #liberal shithole?\n\nhttps://t.co/VrDAXkQZGM',,,,
2022-04-11 06:20:04+00:00,b'@ctvqp @JeanCharest_ should be disqualified from the @CPC_HQ leadership race for being a #Liberal',,Fergus County,Montana,United States
2022-04-11 06:16:48+00:00,b'@dr_c_j_hay @GutterTwits @LesStonehouse From the very #Liberal chair #ItaButtrose',Brisbane,,,Australia
2022-04-11 05:59:53+00:00,b'First day of the #Australian #Election and #Albanese has handed the lead to the hopeless #Liberal party. You couldn\xe2\x80\xa6 https://t.co/2KG1jgwe3F',,,,
2022-04-11 05:19:03+00:00,"b'@smenor @Breaking911 #liberal #lowtest #peessittingdown #80iq there, fixed your hashtags.'",,,,
2022-04-11 04:52:01+00:00,b'@Leo_Puglisi6 But does she know she\xe2\x80\x99s voting #Liberal which means #VotingWithBarnaby   Mine just went in the recycle',,,,
2022-04-11 04:48:13+00:00,b'Is there a liberal Twitter propaganda POD? I was just wondering why every liberal propagandist on Twitter tweet the\xe2\x80\xa6 https://t.co/cgLpSFvwlg',,,,
2022-04-11 04:46:25+00:00,"b'@KKumarSandip @Runjhunsharmas Mr khuntia , who the hell r u to speak about morality. You are supporting antinationa\xe2\x80\xa6 https://t.co/QxR8IdbIIL'",,,,
2022-04-11 04:22:26+00:00,b'New job remorse: 3 tips for handling struggles with a new position https://t.co/BTvRwyCd6H #foxnews #republican\xe2\x80\xa6 https://t.co/hcw0wMNf4J',,,,
2022-04-11 04:20:16+00:00,"b""DOJ's Sandworm operation raises questions about how far feds can go to disarm botnets https://t.co/yqiVBuXgtI\xe2\x80\xa6 https://t.co/s8cwiOi1i9""",,,,
2022-04-11 04:16:05+00:00,b'The fallacies about #Liberal financial #responsibility and\n#accountability\n#Budget2022\n#cdnpoli https://t.co/TxLJEHEoQP',,,,
2022-04-11 04:05:16+00:00,b'How I Made This: Jubilee\xe2\x80\x99s Pixel Art https://t.co/JhiIhiJDKp #foxnews #republican #politics #liberal #democrat\xe2\x80\xa6 https://t.co/WHQToNC3P3',,,,
2022-04-11 04:00:12+00:00,"b'#Labor and #Liberal political campaigns be like:\n\n""We locked you in your home for months. Ruined your businesses. D\xe2\x80\xa6 https://t.co/pZUmANzGsj'",,,,
2022-04-11 03:57:01+00:00,"b""#thoughts #Nagpur #IndiaVsModi Knowledge is power site: Ex-president Mr Mukharjee's invitation to the #RSS headquar\xe2\x80\xa6 https://t.co/G2lCJwpDKA""",,,,
2022-04-11 03:53:50+00:00,"b'@MichaelWestBiz Never forget this.. everyday, every hour, every second\n#MurdochGutterMedia  spreads #Liberal Party Propaganda'",,,,
2022-04-11 03:53:40+00:00,b'Is tech getting older or less ageist? The answer is complicated https://t.co/xhCz6Ys4T0 #foxnews #republican\xe2\x80\xa6 https://t.co/RuQN4eSzwg',,,,
2022-04-11 03:48:49+00:00,b'Eric ou Eric \xf0\x9f\x98\x86\xf0\x9f\xa4\x94\xf0\x9f\xa7\x90\xf0\x9f\x98\xb3\n#quebec #liberal #pcq #election https://t.co/5zmobxykc9',,,,
2022-04-11 03:45:00+00:00,"b""@fordnation are you listening, these are your constituents. For god's sake everyone vote #Liberal #onpoli\xe2\x80\xa6 https://t.co/Wna7MCF6HN""",,,,
2022-04-11 03:16:39+00:00,b'@TonyHussein4 #Progressives are canceling @TheDemocrats.\n\nWe need to have #Liberal control back and the children an\xe2\x80\xa6 https://t.co/mZG728ohCM',,,,
2022-04-11 03:15:10+00:00,"b'It more and more points to #WECHARITY as a #Liberal supporter, being awarded funding by GoC for what became the  co\xe2\x80\xa6 https://t.co/hOjkoOTC6m'",,,,
2022-04-11 02:31:01+00:00,b'$7 Billion company @PlanetFitness TF only paying $10.50/hr? Burn in HELL!\nhttps://t.co/tEXEx2HEcZ #Employment\xe2\x80\xa6 https://t.co/4UL6zGeZTg',,,,
2022-04-11 02:27:03+00:00,b'Senator Sue Lines: What\xe2\x80\x99s going on with the #Pearce #Liberal candidate? She\xe2\x80\x99s not allowed\xe2\x80\xa6 https://t.co/ABzYSbOCnR\xe2\x80\xa6 https://t.co/vyJoHaCJ8d',,,,
2022-04-11 02:09:44+00:00,b'@SweetingElaine @JeanCharest_ is as #Liberal as they come ..',,,,
2022-04-11 01:57:09+00:00,b'The Murdoch media making phantom threats to scare the easily vulnerable. #MurdochRoyalCommission #Elections2022\xe2\x80\xa6 https://t.co/VFXn0QH81X',,,,
2022-04-11 01:53:09+00:00,"b""Nothing you say here is untrue. I've written my own thoughts about it.\n\nIt's a sinister conspiracy to eliminate the\xe2\x80\xa6 https://t.co/vheTupay1w""",South Beach,Miami-Dade County,,United States
2022-04-11 01:48:35+00:00,b'Democrats / Liberals on Twitter have Trump Derangement Syndrome to the core. They blast Trump but can say nothing p\xe2\x80\xa6 https://t.co/XeWTQXQLHU',,,,
2022-04-11 01:31:46+00:00,"b'NO #WOMAN DATES A MAN STUPIDER THAN HER!!!!!!!!!! \n\n#WTF?????????????????????? \n\nYOU #LIBERAL, #SEXIST, #CHEATING\xe2\x80\xa6 https://t.co/wnHp162vKh'",,,,
2022-04-11 01:29:50+00:00,"b'Expect a lot of this #Bullshit from the #CnutCostello stable of #Liberal ""journalists"".\n#AusPol \nThe most accurate\xe2\x80\xa6 https://t.co/Vcc1MF56y9'",,,,
2022-04-11 01:28:31+00:00,b'The #Liberal party: the natural home of #Grifters. https://t.co/CbD7PbzUux',Queensland,,,Australia
2022-04-11 01:24:53+00:00,"b""ONLY THE STUPIDEST MALE WOULD THINK ITS A COMPLIMENT WHEN A WOMAN THINK HE'S UTTER #HORSESHIT:  1) BEING A F%CKING\xe2\x80\xa6 https://t.co/lVlvI3Vjwq""",,,,
2022-04-11 01:24:15+00:00,b'Limited government was a genius and generous gift from our founding fathers. This had never happened before in the\xe2\x80\xa6 https://t.co/0F0aIPnQhU',,,,
2022-04-11 01:20:50+00:00,"b'YO. Even tho I did NOT Grow Up #Christian, I Knew the #Bible &amp; #Christianity101:\n\n#Judas Killed #Christ. \n\nSo, in 2\xe2\x80\xa6 https://t.co/rDN1vIsJG1'",,,,
2022-04-11 01:12:13+00:00,b'Meanwhile at the Legion of Doom...\n#joebiden #biden #kamalaharris #democrats #bidenharris #usa #america #democrat\xe2\x80\xa6 https://t.co/uOOYrUPtbe',,Park County,Colorado,United States
2022-04-11 01:07:33+00:00,b'Day one #Elections2022: @Albo forgets cash rate and unemployment this morning...and #Morrison confirms #liberal sta\xe2\x80\xa6 https://t.co/pCmd3T9uvn',,,,
2022-04-11 00:57:13+00:00,b'What the hell is he talking about.  #JustinTrudeau #Liberal #Canada #WTFDAO #moron #lol # https://t.co/a7PPVEjuMq',,,,
2022-04-11 00:46:56+00:00,b'What\xe2\x80\x99s going on with the #Pearce #Liberal candidate? She\xe2\x80\x99s not allowed to speak pulled from #6PR interview &amp; in tod\xe2\x80\xa6 https://t.co/V3OVNgJnhz',,,,
2022-04-11 00:44:58+00:00,"b""@RobertT89252313 @elonmusk Common sense people are.\nThe #liberal #sheep AREN'T""",,,,
2022-04-11 00:31:46+00:00,"b'@vanbadham @ProjectLincoln Trump gave Ukraine the Javelin missiles that Obama refused to give them, all Ukraine got\xe2\x80\xa6 https://t.co/36xHImnIll'",,,,
2022-04-11 00:12:59+00:00,b'What\xe2\x80\x99s going on with the #Pearce #Liberal candidate? She\xe2\x80\x99s not allowed to speak pulled from #6PR interview &amp; in tod\xe2\x80\xa6 https://t.co/YIWETAyGTh',,,,
2022-04-11 00:08:58+00:00,"b""@CobaltDaisy If you look a little closer into these numbers, you'll find that the reason why these 8 states were in\xe2\x80\xa6 https://t.co/znZlJVzUSw""",,,,
