Time,Text,City,County,State
2022-04-11 13:56:25+00:00,b'President Donald J. Trump Collectible Pocket Watch -  Up to 80% OFF!  Today Only ! (FREE SHIPPIN\xcc\x94G) \xf0\x9f\xa4\xa3\n\n\xe2\x9e\xaa\xe2\x80\xa6 https://t.co/UgmYZu03HO',,,,
2022-04-11 13:45:14+00:00,b'Good morning! S/O #Followers #Followings #RTs #MTs Thank you for #following  #caring &amp; #sharing \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa7\xa1\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a\xf0\x9f\x92\x99\xf0\x9f\x92\x9c\xf0\x9f\xa4\x8e#WearMasks\xe2\x80\xa6 https://t.co/I8gonbtPFC',,Dodge County,Georgia,United States
2022-04-11 13:34:02+00:00,b'GIFT: This Iconic Watch Makes a Great G\xcc\x8dift for friends &amp; family! Today up to 80% Off! (FREE SHIPPING) \xf0\x9f\xa4\x91\n\n\xe2\x9e\xb8\xe2\x80\xa6 https://t.co/YC4xtYoeuM',,,,
2022-04-11 13:29:41+00:00,"b""Trump \xcc\xa1Collectible Pocket Watch. EXCLUSIVE: You won't find this offer anywhere else but here! (FREE SHIPPING) \xf0\x9f\xa7\x90\xe2\x80\xa6 https://t.co/OnVOxMvp7u""",,,,
2022-04-11 13:12:31+00:00,b'President Donald J. Trump Collectible Pocket Watch -  Up to 80% O\xcc\x97FF!  Today Only ! (FREE SHIPPING) \xf0\x9f\x98\x9b\n\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/4Od66DW91d',,,,
2022-04-11 13:04:15+00:00,b'GIFT: This Iconic Watch Makes a Great Gift for friends &amp; family! To\xcc\x94day up to 80% Off! (FREE SHIPPING) \xf0\x9f\xa4\xa4\xe2\x80\xa6 https://t.co/KKQS34SMyr',,,,
2022-04-11 12:47:46+00:00,b'@MichaelCohen212 Knock\nAgain \nGumby\n#KAG',,,,
2022-04-11 12:38:58+00:00,b'Donald J. Trum\xcc\x94p Collectible Pocket Watch 80% OFF for Today (Limited Offer) \xf0\x9f\xa5\xb3\n\n#MakeAmericaGreatAgain\xe2\x80\xa6 https://t.co/wMpr18MJtC',,,,
2022-04-11 12:35:54+00:00,b'GIFT: This I\xcc\x94conic Watch Makes a Great Gift for friends &amp; family! Today up to 80% Off! (FREE SHIPPING) \xf0\x9f\x98\x8c\xe2\x80\xa6 https://t.co/uHKDt9FjFK',,,,
2022-04-11 12:33:28+00:00,"b'To honor him for decades to come, we present to you this President Donald J. Trump Collectible Pocket Watch with FR\xe2\x80\xa6 https://t.co/sKooXDPNO9'",,,,
