Time,Text,City,County,State
2022-04-11 19:33:35+00:00,"b""@RawStory More Karen's Law &amp; Order Family Values from #GOP &amp; #GQP \xf0\x9f\x92\x8b""",,,,
2022-04-11 19:32:59+00:00,b'@RawStory More Law &amp; Order Family Values from #GOP &amp; #GQP \xf0\x9f\x92\x8b',,,,
2022-04-11 19:32:44+00:00,b'Russia Airs Its Ultimate \xe2\x80\x98Revenge Plan\xe2\x80\x99 for #America\n#Putin still Fighting a WAR against the #USA \n#Republicans\xe2\x80\xa6 https://t.co/V2sld87Eva',,,,
2022-04-11 19:32:18+00:00,b'Always projection with these #GOP goons https://t.co/GWYe9T1LO5',Olympia,Περιφερειακή Ενότητα Ηλείας,,Ελλάς
2022-04-11 19:32:12+00:00,b'@RawStory Got that right\n-@RepMattGaetz \n#JoshDuggar and the branch of xianity he belongs to\n-the #Tennessee bill t\xe2\x80\xa6 https://t.co/eDYVIkFXSr',,,,
2022-04-11 19:31:56+00:00,"b'Blows my mind in so many ways\xe2\x80\xbc\xef\xb8\x8f\n\nFirst, for a taxpayer to pay too much income tax then NEVER GETTIN AROUND to file\xe2\x80\xa6 https://t.co/R19VdscRxg'",,,,
2022-04-11 19:31:17+00:00,b'Jr did drop his corrupt father right in it \nMore proof #Republican politicians planned &amp; tried to overthrow the #US\xe2\x80\xa6 https://t.co/bOhlTgzmrl',,,,
2022-04-11 19:29:39+00:00,b'Response from #GOP runoff candidate for #HarrisCounty Judge @VidalMartinezTX https://t.co/uFvlECw8hd',Houston,Harris County,Texas,United States
2022-04-11 19:29:05+00:00,"b'So, @RonDeSantisFL intends to make it so only #GOPTraitorsToDemocracy are elected in his state. Surprised? Of cours\xe2\x80\xa6 https://t.co/2662IzOfhM'",Arlington,Tarrant County,,United States
2022-04-11 19:28:27+00:00,b'I don\xe2\x80\x99t think protection of actual children is the goal with the #Texas #GOP as much as using them to whip up voter\xe2\x80\xa6 https://t.co/Yd9mWerqgY',,,,
2022-04-11 19:28:22+00:00,"b""You ever wonder what the #GOP #Repubs \nare saying behind Herschel Walker's back? \xf0\x9f\xa4\x94 https://t.co/4CqeQucJnP""",,,,
2022-04-11 19:26:46+00:00,b'Statement from #GOP runoff candidate for #HarrisCounty Judge @AlexMealer4HCTX https://t.co/SU8NbmkQGx',Houston,Harris County,Texas,United States
2022-04-11 19:26:44+00:00,b'#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO\xe2\x80\xa6 https://t.co/1pMuFlabQg',,,,
2022-04-11 19:26:28+00:00,"b'@Sinfulskin2 Based on what the 1/6 committee has uncovered, there\xe2\x80\x99s an ongoing conspiracy afoot to undermine our de\xe2\x80\xa6 https://t.co/pAcXpIW4kD'",,,,
2022-04-11 19:26:14+00:00,"b""[WATCH] Undercover Reporter Busts Ted Cruz Bragging About 'Leading' Jan 6th 'Fight'.  Another admission #TedCruz\xe2\x80\xa6 https://t.co/KyvyeSMWLm""",,,,
2022-04-11 19:26:12+00:00,"b'Hey Maria - US has a thriving Neo-Nazi population.  Is Russia planning to do same here, after you completely destro\xe2\x80\xa6 https://t.co/lbttUgVlx0'",,,,
2022-04-11 19:26:06+00:00,b'@MarkRonchettiNM Will Mark Ronchetti build a Wall of China on our southern boarder that we might draw our swords an\xe2\x80\xa6 https://t.co/gwklgh43gR',,Torrance County,New Mexico,United States
2022-04-11 19:25:48+00:00,"b'The #GOP hits just keep coming yet, people are keeping blinders on. https://t.co/4o5tqwnK7w'",,,,
2022-04-11 19:24:31+00:00,"b'@SenSanders Gee Bernie why don\xe2\x80\x99t you ask Biden, Pelosi and Schumer?  You behave as if the GOP is running DC!  #GOP'",,,,
2022-04-11 19:24:30+00:00,b'@SteveDaines Your silence while 45 ignored a pandemic for 70 days and ran up the National Debt $7.8 trillion bucks\xe2\x80\xa6 https://t.co/IZ0CASuc5y',West Yellowstone,Gallatin County,Montana,United States
2022-04-11 19:24:30+00:00,b'So now even your daughter is being investigated for embezzlement of campaign funds.  Your whole family are a bunch\xe2\x80\xa6 https://t.co/Jx0mMJdsVT',,,,
2022-04-11 19:23:15+00:00,b'@AmericaRpts @NewYorkGOP @NMalliotakis Agree. #GOP &amp; #independents will make #Midterms2022 a DEMOCRAT BLOODBATH.\n\nN\xe2\x80\xa6 https://t.co/9U6nTjQJ3w',,,,
2022-04-11 19:23:12+00:00,"b""Like I keep saying, it's the #GOP who are taking rights away from us, not the #Democrats. How do you #Republicans n\xe2\x80\xa6 https://t.co/NgEfv6f4Wl""",Earth,Lamb County,,United States
2022-04-11 19:22:58+00:00,b'May the vengeance the #GOP accumulates be swift and Grecian.',,,,
2022-04-11 19:22:52+00:00,"b""@DanCrenshawTX We're still dealing with #TrumpCult crying about the election after their leader lost by 8 mil votes\xe2\x80\xa6 https://t.co/xzFsssEFOf""",Canyon Lake,Comal County,Texas,United States
2022-04-11 19:22:33+00:00,b'#GOP economic plan: raise taxes on the middle class. Pass it on! https://t.co/j6SRInBQwj',,,,
2022-04-11 19:22:29+00:00,"b'@ChuckGrassley Not a minority in the bunch, eh, Chuck? Just retire, old man.  #RetireGrassley #GOP'",,,,
2022-04-11 19:22:22+00:00,b'Will the Indies jump into #gop Primary though?... https://t.co/5NbyM8T05k',San Bernardino,San Bernardino County,California,United States
2022-04-11 19:21:22+00:00,b'The #GOP is chocked full of these lightweight posers who think they can skate into an elected position based on nam\xe2\x80\xa6 https://t.co/JocRtAiiNz',Denver,,Colorado,United States
2022-04-11 19:19:18+00:00,"b'Sure, middle class pay MORE taxes\nand rich pay none = #GOP https://t.co/2ETCT6WrQ5'",,,,
2022-04-11 19:18:52+00:00,b'Now do the other countries. You know people in Canada and Mexico #inflationisglobal we still \xf0\x9f\x91\x80 you Rafael\xe2\x80\xa6 https://t.co/bx403PaJNZ',Jersey City,Hudson County,New Jersey,United States
2022-04-11 19:17:28+00:00,b'Herschel Walker could not be bothered to show up for a #GOP primary debate.  So why would anyone think he is going\xe2\x80\xa6 https://t.co/EGIEc812yu',,,,
2022-04-11 19:16:53+00:00,"b'@MarshaBlackburn and her family are nothing more than racist, greedy grifters! #GOP https://t.co/vJyEAdGAk2'",,,,
2022-04-11 19:15:56+00:00,b'The #HerschelWalker #RaphaelWarnock polls follow standard #GOP playbook. MAKE POLLS APPEAR CLOSE AT ALL TIMES. \nMy\xe2\x80\xa6 https://t.co/qZG0lZB17i',,,,
2022-04-11 19:13:22+00:00,"b'People are sharing #disinformation about photos on #HuntersLaptop.\n""I did not see the photos that are being reporte\xe2\x80\xa6 https://t.co/ccNdHHC5BP'",,,,
2022-04-11 19:13:06+00:00,b'She\xe2\x80\x99s flashing a \xe2\x80\x9cwhite power\xe2\x80\x9d sign. During the confirmation hearing for our Country\xe2\x80\x99s first Black Female Supreme C\xe2\x80\xa6 https://t.co/H8k3QJbaIU',,,,
2022-04-11 19:13:05+00:00,"b'@rreactor @brentsamo @_WalkinOnAir_ Yup, it\xe2\x80\x99s the conservatives who\xe2\x80\x99ve been such staunch supporters of #civilrights\xe2\x80\xa6 https://t.co/HWAAJhAF7h'",Chicago,Cook County,,United States
2022-04-11 19:12:58+00:00,"b'If you are part of the ""middle class,"" every vote for a Republican #GOP candidate is a vote to raise your own taxes\xe2\x80\xa6 https://t.co/FVantQheJI'",,,,
2022-04-11 19:12:51+00:00,b'Florida Republican fraud continues. #GOP #Florida #Election2022 #VoteBlueIn2022 #StopTheSteal #TRUMP2024 the only w\xe2\x80\xa6 https://t.co/17HgIyD8cH',,Lake County,Illinois,United States
2022-04-11 19:11:51+00:00,"b'@azcentral @ejmontini Grab your pitchfork and pillows, for your 2022 #GOP Republican Party operators are standing b\xe2\x80\xa6 https://t.co/fEqkwNDTO6'",Sun City West,Maricopa County,Arizona,United States
2022-04-11 19:11:12+00:00,"b'This creature shld B liked up for the remainder of his life. When I read what this violent, disgusting &amp; subhuman e\xe2\x80\xa6 https://t.co/O7dBCCf9gb'",,,,
2022-04-11 19:08:26+00:00,b'Some of fittest athletes in world died in HIGH %\xf0\x9f\x91\x87\n\n#cdnpoli #Toronto #bcpoli #TOpoli #Onpoli @PierrePoilievre #cpc\xe2\x80\xa6 https://t.co/BL67WlkY1G',,,,
2022-04-11 19:07:51+00:00,"b""But don't look at the #GOP history of pedophilia, by any means. This is laughable on its face.\n\nThe GOP Has Revived\xe2\x80\xa6 https://t.co/kINI7DnwTd""",Tinley Park,Cook County,Illinois,United States
2022-04-11 19:05:38+00:00,b'#Espionage #GOP #Republicans #Kushner \n\nSelling of a country! https://t.co/sLuE8wkPcv',,,,
2022-04-11 19:05:05+00:00,"b'@GOPLeader is always full of \xf0\x9f\x8d\x8a\xf0\x9f\x90\x82\xf0\x9f\x92\xa9. No party has ever been so gaslighting, corrupt, anti-democratic, lying fascist lo\xe2\x80\xa6 https://t.co/wa6TkW7hFb'",,,,
2022-04-11 19:04:43+00:00,b'At a time when heads of nations should be gathered around a table to conquer climate change some are engaging in wa\xe2\x80\xa6 https://t.co/lddr9mAWzD',,,,
2022-04-11 19:04:43+00:00,"b'If you\xe2\x80\x99ve been wondering why our country is in decline, here\xe2\x80\x99s the answer. This is what\xe2\x80\x99s passing for leadership\xe2\x80\xa6ho\xe2\x80\xa6 https://t.co/Y8igYHbdM4'",,,,
2022-04-11 19:04:12+00:00,b'@jasonbmartin @Mountain_Rose_ Indicative of whom they are. The #GOP obsession.',,,,
2022-04-11 19:03:04+00:00,b'#POTUS \n#SCOTUS \n#GOP \n#DNC \n#FoxNews \n#CNN \n#Antifa \n#BlackLivesMatter \n#PONTIFEX \n#CopelandNetwork \n#UN \n#NATO\xe2\x80\xa6 https://t.co/QHa7fuuV4I',,,,
2022-04-11 19:02:36+00:00,b'This explains a lot! #GOP #Republicans https://t.co/SjiyjNa36g',,,,
2022-04-11 19:01:04+00:00,"b""@JohnJHarwood This is new.  She wasn't saying this tmk.  The others were.  She must've seen new polls.  #TheBigLie\xe2\x80\xa6 https://t.co/B25WNpVmtC""",Nashville,Davidson County,Tennessee,United States
2022-04-11 19:00:52+00:00,b'#NewHampshire #GOP #Gov candidate #KarenTesterman says incumbent Gov #ChrisSununu \xe2\x80\x9cputs the \xe2\x80\x98R\xe2\x80\x99 in \xe2\x80\x98Rino.\xe2\x80\x99\xe2\x80\x99\xe2\x80\x9d\xe2\x80\xa6 https://t.co/1a78Idg1v2',,New York County,New York,United States
2022-04-11 19:00:32+00:00,"b'Distraught over orders to investigate trans kids\xe2\x80\x99 families, #Texas child welfare workers are resigning\xe2\x80\xa6 https://t.co/KqnQOwb62c'",Lafayette,Boulder County,Colorado,United States
2022-04-11 19:00:25+00:00,"b'@FLCaseyDeSantis Your Husband @GovRonDeSantis has been a HERO to us who believe in FREE CHOICE in VAXX and no, not\xe2\x80\xa6 https://t.co/GJoKqbhr01'",,,,
2022-04-11 19:00:10+00:00,"b'When mainly rich white #GOP Guys own over 92% of USA Power, #MIC because\nStolen dark money Unethical, corrupt\xe2\x80\xa6 https://t.co/w5D4A6uLGF'",,,,
