Time,Text,City,County,State
2022-04-09 09:04:04+00:00,"b'In a #Michigan County, Stimulus Funds Are Remaking Public Health Programs https://t.co/oIZqqP1EcH https://t.co/g9e8wZxd9c'",,,
2022-04-09 09:04:02+00:00,"b""#Detroit #Pistons: We're in Philly on Sunday for the ...\n \nhttps://t.co/i5JXGXlr4g\n \n#Central #CentralDivision\xe2\x80\xa6 https://t.co/ujpC6Xf632""",,,
2022-04-09 08:58:58+00:00,"b""RT @10WallStreet: IF #CNN 24/7 #Fakenews Can't Convict #Trump Backers in Court. #2022Elections Look Grim for #Democrats #foxnews #nytimes\xe2\x80\xa6""",,,
2022-04-09 08:52:02+00:00,"b""#Detroit #Lions: Oh snap! It's 4\xe2\x83\xa3  8\xe2\x83\xa3... \n \nhttps://t.co/2X2JEaozdh\n \n#DetroitLions #Football #Michigan\xe2\x80\xa6 https://t.co/k7X6Qy1bSM""",,,
2022-04-09 08:41:04+00:00,"b""The world's smallest #computer is 1mm in size - a #computerscience #engineering \n\n#marvel #DidYouKnow #bitmangaluru\xe2\x80\xa6 https://t.co/ooDyqoI8jp""",,,
2022-04-09 08:27:40+00:00,b'RT @StevePieczenik: #Michigan  get #Satan behind thee\n#Decertify now!\nArrest your gov !',San Antonio,,Texas
2022-04-09 08:06:31+00:00,"b""RT @GregBiggins: Bellflower (Calif.) St. John Bosco '24 DB Peyton Woodyard is set for a busy April, will check out #Oregon this weekend fol\xe2\x80\xa6""",Bellflower,,California
2022-04-09 07:55:26+00:00,"b""A #jury has acquitted two men of all counts in a #conspiracy to #kidnap #Michigan Gov. #GretchenWhitmer but couldn'\xe2\x80\xa6 https://t.co/r4KtnrzgI8""",Earth,,
2022-04-09 07:53:32+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",Brooklyn,,
2022-04-09 07:51:12+00:00,b'RT @SKITZOmichigan: 10 days away \xe2\x80\xa6.\n#Lansing #Michigan #teamSkitzo #Lionheart #OutColdShowcase https://t.co/T0i6BBUhId',,,
2022-04-09 07:46:44+00:00,"b'BradPorcellato: #Ventura #Colorado #Michigan, Enjoy exclusive Amazon Originals as well as popular movies and TV sho\xe2\x80\xa6 https://t.co/redY6qIg0F'",,,
2022-04-09 07:45:17+00:00,b'RT @MayadeenEnglish: The #US judicial system is failing its own governors after the four suspects were freed amid ample evidence.\n\n#Gretche\xe2\x80\xa6',,,
2022-04-09 07:40:23+00:00,b'RT @ME65093838: FBI was behind it the whole time!\n\n#Michigan #FBI #Whitmer',,,
2022-04-09 07:31:14+00:00,"b'RT @AdrblyFerocious: Jury acquits two men in Michigan governor kidnapping case, deadlocks on charge for two others.\n\n#Michigan\n#WTP_Of_TGCA\xe2\x80\xa6'",,,
2022-04-09 07:28:06+00:00,b'#Detroit Red Wings: 71. 17. \n\n3-game @geico point streaks. ##LGRW... \n \nhttps://t.co/N13ByvnDGE\n \n#DetroitRedWings\xe2\x80\xa6 https://t.co/bF9ZV7MNNP',,,
2022-04-09 07:23:36+00:00,b'The #US judicial system is failing its own governors after the four suspects were freed amid ample evidence.\xe2\x80\xa6 https://t.co/sZ9uekQB7e',,,
2022-04-09 07:16:51+00:00,b'#TrumpCrazy None of those accused of plotting to kidnap Governor of #Michigan was convicted. That tells me the\xe2\x80\xa6 https://t.co/EaBIoP0Fwr',,,
2022-04-09 07:14:42+00:00,"b'Now charged as #SuperDrunk\n\nBodycam footage shows DUI arrest of Michigan Rep Mary Cavanagh, 30 #Michigan\xe2\x80\xa6 https://t.co/dbMhGOOfXe'",,,Ohio
2022-04-09 07:05:36+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,
2022-04-09 07:03:48+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,California
2022-04-09 07:02:04+00:00,"b'OBVIOUSLY!! - The entire gnomish was a SET-UP, orchestrated by,... you know WHO!! A HOAX!! #Michigan https://t.co/jGrN32pmxf'",Los Angeles,,
2022-04-09 06:57:13+00:00,"b'RT @mtarm: BREAKING on #Whitmer kidnap plot trial ///\n\nGRAND RAPIDS, Mich. (AP) _ 2 men #acquitted of conspiracy in foiled plot to kidnap #\xe2\x80\xa6'",,,Illinois
2022-04-09 06:41:15+00:00,b'@PaniniAmerica @WWE #prizm in stock now at you #lcs #saginaw #michigan #cardshop https://t.co/Mw776pk73h',,,Michigan
2022-04-09 06:40:56+00:00,"b'@KenDilanianNBC @PeteWilliamsNBC Wow, outrageous!!\xf0\x9f\xa4\xac\xf0\x9f\x98\xa4 Those men were clearly guilty and should serve a life sentence\xe2\x80\xa6 https://t.co/X2YV2eEXfv'",,,North Carolina
2022-04-09 06:31:22+00:00,b'RT @Area72ENT: @dsleyton @untilfreedom @WNEMTV5news @ABC7 @ABC12WJRT @MIAttyGen @GovWhitmer @LtGovGilchrist @wearepushblack @ACLU_OR @aclut\xe2\x80\xa6',Grand Blanc,,Michigan
2022-04-09 06:27:01+00:00,b'@dsleyton @untilfreedom @WNEMTV5news @ABC7 @ABC12WJRT @MIAttyGen @GovWhitmer @LtGovGilchrist @wearepushblack\xe2\x80\xa6 https://t.co/xx9qn0970d',Flint,Genesee County,Michigan
2022-04-09 06:25:37+00:00,"b'#Michigan - Office of Governor Whitmer responds to the outcome of the kidnapping trial case, denounces the ""normali\xe2\x80\xa6 https://t.co/zH5HbbgiFM'",,,
2022-04-09 06:23:01+00:00,b'#Michigan - Two defendants in the case of an apparent kidnapping plot against Governor Gretchen Whitmer are acquitt\xe2\x80\xa6 https://t.co/CI7VKBc2CG',,,
2022-04-09 06:15:40+00:00,b'But wait a f**king minute! \nWhy isn\xe2\x80\x99t the fact that four dumber that rock backwards rednecks getting away with cons\xe2\x80\xa6 https://t.co/jLltyeNa3s',,,
2022-04-09 05:58:53+00:00,b'RT @MichiganClock: Ohio State has not beaten Michigan in football for 860 days.  #GoBlue #Michigan #BeatOhio',,,Illinois
